Pseudo-terminal will not be allocated because stdin is not a terminal.
Allocated port 5 for remote forward to localhost:3000
You are not authenticated.
Your tunnel will expire in 60 minutes. Upgrade to Pinggy Pro to get unrestricted tunnels. https://dashboard.pinggy.io
http://yjhsf-2401-4900-1f3a-13ce-3b5-6d9f-bff-340b.run.pinggy-free.link
https://yjhsf-2401-4900-1f3a-13ce-3b5-6d9f-bff-340b.run.pinggy-free.link
connect_to localhost port 3000: failed.

RB: 0, SB: 0, TC: 0, AC: 0               
RB: 0, SB: 0, TC: 0, AC: 4294967295               
RB: 0, SB: 0, TC: 1, AC: 0               
RB: 0, SB: 0, TC: 1, AC: 0               
RB: 0, SB: 0, TC: 1, AC: 0               
RB: 606, SB: 0, TC: 1, AC: 1               
RB: 606, SB: 0, TC: 1, AC: 1               
RB: 606, SB: 0, TC: 1, AC: 0               
RB: 2939, SB: 6301, TC: 5, AC: 3               
RB: 3438, SB: 7375, TC: 6, AC: 3               
RB: 3438, SB: 7375, TC: 6, AC: 2               
RB: 3438, SB: 7375, TC: 7, AC: 3               
RB: 3438, SB: 7375, TC: 7, AC: 3               
RB: 3943, SB: 7375, TC: 7, AC: 4               
RB: 3943, SB: 7375, TC: 7, AC: 4               
RB: 3943, SB: 7375, TC: 7, AC: 3               
RB: 3943, SB: 7375, TC: 8, AC: 4               
RB: 3943, SB: 7375, TC: 8, AC: 4               
RB: 3943, SB: 8417, TC: 8, AC: 3               
RB: 3943, SB: 8417, TC: 8, AC: 3               
RB: 3943, SB: 8417, TC: 8, AC: 2               
RB: 3943, SB: 8417, TC: 9, AC: 3               
RB: 4424, SB: 9491, TC: 8, AC: 3               
RB: 4424, SB: 9491, TC: 8, AC: 2               
RB: 4424, SB: 9491, TC: 8, AC: 0               
RB: 4424, SB: 9491, TC: 8, AC: 0               
RB: 4424, SB: 9491, TC: 9, AC: 1               
RB: 4424, SB: 9491, TC: 9, AC: 1               
RB: 4424, SB: 9491, TC: 9, AC: 0               
RB: 4424, SB: 9491, TC: 10, AC: 1               
RB: 5030, SB: 10582, TC: 9, AC: 1               
RB: 5030, SB: 10582, TC: 9, AC: 1               
RB: 5603, SB: 10582, TC: 10, AC: 2               
RB: 5603, SB: 10582, TC: 10, AC: 2               
RB: 5603, SB: 10582, TC: 10, AC: 1               
RB: 5603, SB: 10582, TC: 11, AC: 2               
RB: 5603, SB: 12102, TC: 10, AC: 2               
RB: 5603, SB: 12102, TC: 10, AC: 2               
RB: 5603, SB: 12102, TC: 10, AC: 2               
RB: 5603, SB: 12102, TC: 10, AC: 1               
RB: 5603, SB: 12102, TC: 11, AC: 2               
RB: 6319, SB: 13194, TC: 11, AC: 3               
RB: 6319, SB: 13194, TC: 11, AC: 3               
RB: 6882, SB: 13194, TC: 12, AC: 3               
RB: 6882, SB: 13194, TC: 12, AC: 3               
RB: 6882, SB: 13194, TC: 12, AC: 2               
RB: 6882, SB: 13194, TC: 13, AC: 3               
RB: 6882, SB: 13194, TC: 13, AC: 3               
RB: 7363, SB: 14284, TC: 13, AC: 4               
RB: 7363, SB: 14284, TC: 13, AC: 4               
RB: 7363, SB: 14284, TC: 13, AC: 3               
RB: 7363, SB: 14284, TC: 14, AC: 4               
RB: 7363, SB: 15358, TC: 13, AC: 2               
RB: 7363, SB: 15358, TC: 13, AC: 2               
RB: 7363, SB: 15358, TC: 13, AC: 2               
RB: 7363, SB: 15358, TC: 13, AC: 1               
RB: 7363, SB: 15358, TC: 14, AC: 2               
RB: 7862, SB: 16432, TC: 14, AC: 3               
RB: 7862, SB: 16432, TC: 14, AC: 3               
RB: 8367, SB: 16432, TC: 15, AC: 3               
RB: 8367, SB: 16432, TC: 15, AC: 3               
RB: 8367, SB: 16432, TC: 15, AC: 2               
RB: 8367, SB: 16432, TC: 16, AC: 3               
RB: 8367, SB: 17474, TC: 15, AC: 3               
RB: 8367, SB: 17474, TC: 15, AC: 3               
RB: 8367, SB: 17474, TC: 15, AC: 3               
RB: 8367, SB: 17474, TC: 15, AC: 2               
RB: 8367, SB: 17474, TC: 16, AC: 3               
RB: 8848, SB: 18548, TC: 16, AC: 2               
RB: 8848, SB: 18548, TC: 16, AC: 1               
RB: 8848, SB: 18548, TC: 16, AC: 0               
RB: 8848, SB: 18548, TC: 16, AC: 0               
RB: 8848, SB: 18548, TC: 16, AC: 0               
RB: 8848, SB: 18548, TC: 16, AC: 4294967295               
RB: 8848, SB: 18548, TC: 17, AC: 0               
RB: 9454, SB: 19639, TC: 17, AC: 1               
RB: 9454, SB: 19639, TC: 17, AC: 1               
RB: 10027, SB: 19639, TC: 18, AC: 2               
RB: 10027, SB: 19639, TC: 18, AC: 2               
RB: 10027, SB: 19639, TC: 18, AC: 1               
RB: 10027, SB: 19639, TC: 19, AC: 2               
RB: 10027, SB: 21159, TC: 18, AC: 2               
RB: 10027, SB: 21159, TC: 18, AC: 2               
RB: 10743, SB: 21159, TC: 19, AC: 2               
RB: 10743, SB: 21159, TC: 19, AC: 2               
RB: 10743, SB: 21159, TC: 19, AC: 1               
RB: 10743, SB: 21159, TC: 20, AC: 2               
RB: 10743, SB: 21159, TC: 20, AC: 2               
RB: 10743, SB: 22251, TC: 20, AC: 3               
RB: 10743, SB: 22251, TC: 20, AC: 3               
RB: 10743, SB: 22251, TC: 20, AC: 2               
RB: 10743, SB: 22251, TC: 21, AC: 3               
RB: 11306, SB: 23341, TC: 20, AC: 2               
RB: 11306, SB: 23341, TC: 20, AC: 2               
RB: 11787, SB: 23341, TC: 21, AC: 3               
RB: 11787, SB: 23341, TC: 21, AC: 3               
RB: 11787, SB: 23341, TC: 21, AC: 2               
RB: 11787, SB: 23341, TC: 22, AC: 3               
RB: 11787, SB: 24415, TC: 21, AC: 2               
RB: 11787, SB: 24415, TC: 21, AC: 2               
RB: 11787, SB: 24415, TC: 21, AC: 2               
RB: 12286, SB: 25489, TC: 22, AC: 3               
RB: 12286, SB: 25489, TC: 22, AC: 2               
RB: 12286, SB: 25489, TC: 23, AC: 3               
RB: 12286, SB: 25489, TC: 23, AC: 3               
RB: 12791, SB: 25489, TC: 23, AC: 3               
RB: 12791, SB: 25489, TC: 23, AC: 3               
RB: 12791, SB: 25489, TC: 23, AC: 2               
RB: 12791, SB: 25489, TC: 24, AC: 3               
RB: 12791, SB: 25489, TC: 24, AC: 3               
RB: 12791, SB: 26531, TC: 24, AC: 4               
RB: 12791, SB: 26531, TC: 24, AC: 4               
RB: 12791, SB: 26531, TC: 24, AC: 3               
RB: 12791, SB: 26531, TC: 25, AC: 4               
RB: 13272, SB: 27605, TC: 24, AC: 3               
RB: 13272, SB: 27605, TC: 24, AC: 1               
RB: 13272, SB: 27605, TC: 24, AC: 0               
RB: 13272, SB: 27605, TC: 24, AC: 0               
RB: 13272, SB: 27605, TC: 24, AC: 0               
RB: 13878, SB: 28696, TC: 25, AC: 1               
RB: 13878, SB: 28696, TC: 25, AC: 0               
RB: 13878, SB: 28696, TC: 26, AC: 1               
RB: 13878, SB: 28696, TC: 26, AC: 1               
RB: 14451, SB: 28696, TC: 26, AC: 2               
RB: 14451, SB: 28696, TC: 26, AC: 2               
RB: 14451, SB: 30216, TC: 26, AC: 2               
RB: 14451, SB: 30216, TC: 26, AC: 1               
RB: 14451, SB: 30216, TC: 27, AC: 2               
RB: 14451, SB: 30216, TC: 27, AC: 2               
RB: 15167, SB: 30216, TC: 27, AC: 3               
RB: 15167, SB: 30216, TC: 27, AC: 3               
RB: 15167, SB: 30216, TC: 27, AC: 2               
RB: 15167, SB: 30216, TC: 28, AC: 3               
RB: 15167, SB: 30216, TC: 28, AC: 3               
RB: 15167, SB: 31308, TC: 28, AC: 4               
RB: 15167, SB: 31308, TC: 28, AC: 4               
RB: 15167, SB: 31308, TC: 28, AC: 3               
RB: 15167, SB: 31308, TC: 29, AC: 4               
RB: 15730, SB: 32398, TC: 28, AC: 3               
RB: 15730, SB: 32398, TC: 28, AC: 3               
RB: 16211, SB: 32398, TC: 29, AC: 4               
RB: 16211, SB: 32398, TC: 29, AC: 4               
RB: 16211, SB: 32398, TC: 29, AC: 3               
RB: 16211, SB: 32398, TC: 30, AC: 4               
RB: 16211, SB: 33472, TC: 29, AC: 2               
RB: 16211, SB: 33472, TC: 29, AC: 2               
RB: 16211, SB: 33472, TC: 29, AC: 2               
RB: 16710, SB: 34546, TC: 30, AC: 3               
RB: 16710, SB: 34546, TC: 30, AC: 2               
RB: 16710, SB: 34546, TC: 31, AC: 3               
RB: 16710, SB: 34546, TC: 31, AC: 3               
RB: 17215, SB: 34546, TC: 31, AC: 3               
RB: 17215, SB: 34546, TC: 31, AC: 3               
RB: 17215, SB: 34546, TC: 31, AC: 2               
RB: 17215, SB: 34546, TC: 32, AC: 3               
RB: 17215, SB: 35588, TC: 31, AC: 3               
RB: 17215, SB: 35588, TC: 31, AC: 3               
RB: 17215, SB: 35588, TC: 31, AC: 3               
RB: 17696, SB: 36662, TC: 32, AC: 3               
RB: 17696, SB: 36662, TC: 32, AC: 2               
RB: 17696, SB: 36662, TC: 33, AC: 3               
RB: 17696, SB: 36662, TC: 32, AC: 1               
RB: 17696, SB: 36662, TC: 32, AC: 0               
RB: 17696, SB: 36662, TC: 32, AC: 0               
RB: 18302, SB: 36662, TC: 33, AC: 1               
RB: 18302, SB: 36662, TC: 33, AC: 1               
RB: 18302, SB: 37753, TC: 33, AC: 1               
RB: 18302, SB: 37753, TC: 33, AC: 0               
RB: 18302, SB: 37753, TC: 34, AC: 1               
RB: 18302, SB: 37753, TC: 34, AC: 1               
RB: 18875, SB: 37753, TC: 34, AC: 2               
RB: 18875, SB: 37753, TC: 34, AC: 2               
RB: 18875, SB: 37753, TC: 34, AC: 1               
RB: 18875, SB: 37753, TC: 35, AC: 2               
RB: 18875, SB: 39273, TC: 34, AC: 2               
RB: 18875, SB: 39273, TC: 34, AC: 2               
RB: 19591, SB: 39273, TC: 35, AC: 2               
RB: 19591, SB: 39273, TC: 35, AC: 2               
RB: 19591, SB: 39273, TC: 35, AC: 1               
RB: 19591, SB: 39273, TC: 36, AC: 2               
RB: 19591, SB: 39273, TC: 36, AC: 2               
RB: 20154, SB: 40487, TC: 36, AC: 3               
RB: 20154, SB: 40487, TC: 36, AC: 3               
RB: 20154, SB: 40487, TC: 36, AC: 2               
RB: 20154, SB: 40487, TC: 37, AC: 3               
RB: 20154, SB: 41801, TC: 36, AC: 2               
RB: 20154, SB: 41801, TC: 36, AC: 2               
RB: 20154, SB: 41801, TC: 36, AC: 2               
RB: 20870, SB: 43015, TC: 37, AC: 3               
RB: 20870, SB: 43015, TC: 37, AC: 2               
RB: 20870, SB: 43015, TC: 38, AC: 3               
RB: 20870, SB: 43015, TC: 38, AC: 3               
RB: 21369, SB: 43015, TC: 38, AC: 3               
RB: 21369, SB: 43015, TC: 38, AC: 3               
RB: 21369, SB: 43015, TC: 38, AC: 2               
RB: 21369, SB: 43015, TC: 39, AC: 3               
RB: 21369, SB: 43015, TC: 39, AC: 3               
RB: 21369, SB: 44089, TC: 39, AC: 4               
RB: 21369, SB: 44089, TC: 39, AC: 4               
RB: 21369, SB: 44089, TC: 39, AC: 3               
RB: 21369, SB: 44089, TC: 40, AC: 4               
RB: 22109, SB: 45131, TC: 39, AC: 3               
RB: 22109, SB: 45131, TC: 39, AC: 3               
RB: 22109, SB: 45131, TC: 39, AC: 3               
RB: 22825, SB: 46223, TC: 40, AC: 4               
RB: 22825, SB: 46223, TC: 40, AC: 3               
RB: 22825, SB: 46223, TC: 41, AC: 4               
RB: 22825, SB: 46223, TC: 40, AC: 2               
RB: 22825, SB: 46223, TC: 40, AC: 1               
RB: 22825, SB: 46223, TC: 40, AC: 0               
RB: 22825, SB: 46223, TC: 40, AC: 0               
RB: 23340, SB: 46223, TC: 41, AC: 1               
RB: 23340, SB: 46223, TC: 41, AC: 1               
RB: 23340, SB: 46223, TC: 41, AC: 0               
RB: 23340, SB: 46223, TC: 42, AC: 1               
RB: 23340, SB: 47293, TC: 41, AC: 1               
RB: 23340, SB: 47293, TC: 41, AC: 0               
RB: 23340, SB: 47293, TC: 41, AC: 0               
RB: 23946, SB: 47293, TC: 42, AC: 1               
RB: 23946, SB: 47293, TC: 42, AC: 1               
RB: 23946, SB: 47293, TC: 42, AC: 0               
RB: 23946, SB: 47293, TC: 43, AC: 1               
RB: 23946, SB: 48384, TC: 42, AC: 1               
RB: 23946, SB: 48384, TC: 42, AC: 1               
RB: 24519, SB: 48384, TC: 43, AC: 2               
RB: 24519, SB: 48384, TC: 43, AC: 2               
RB: 24519, SB: 48384, TC: 43, AC: 1               
RB: 24519, SB: 48384, TC: 44, AC: 2               
RB: 24519, SB: 49904, TC: 43, AC: 2               
RB: 24519, SB: 49904, TC: 43, AC: 2               
RB: 25235, SB: 49904, TC: 44, AC: 2               
RB: 25235, SB: 49904, TC: 44, AC: 2               
RB: 25235, SB: 49904, TC: 44, AC: 1               
RB: 25235, SB: 49904, TC: 45, AC: 2               
RB: 25235, SB: 49904, TC: 45, AC: 2               
RB: 25235, SB: 51118, TC: 45, AC: 3               
RB: 25235, SB: 51118, TC: 45, AC: 3               
RB: 25235, SB: 51118, TC: 45, AC: 2               
RB: 25235, SB: 51118, TC: 46, AC: 3               
RB: 25798, SB: 52506, TC: 45, AC: 2               
RB: 25798, SB: 52506, TC: 45, AC: 2               
RB: 25798, SB: 52506, TC: 45, AC: 2               
RB: 25798, SB: 52506, TC: 45, AC: 1               
RB: 25798, SB: 52506, TC: 46, AC: 2               
RB: 26556, SB: 53720, TC: 46, AC: 3               
RB: 26556, SB: 53720, TC: 46, AC: 3               
RB: 27055, SB: 53720, TC: 47, AC: 3               
RB: 27055, SB: 53720, TC: 47, AC: 3               
RB: 27055, SB: 53720, TC: 47, AC: 2               
RB: 27055, SB: 53720, TC: 48, AC: 3               
RB: 27055, SB: 54794, TC: 47, AC: 3               
RB: 27055, SB: 54794, TC: 47, AC: 3               
RB: 27837, SB: 54794, TC: 48, AC: 2               
RB: 27837, SB: 54794, TC: 48, AC: 2               
RB: 27837, SB: 54794, TC: 48, AC: 1               
RB: 27837, SB: 54794, TC: 49, AC: 2               
RB: 27837, SB: 54794, TC: 49, AC: 2               
RB: 27837, SB: 55871, TC: 49, AC: 3               
RB: 27837, SB: 55871, TC: 49, AC: 3               
RB: 27837, SB: 55871, TC: 49, AC: 2               
RB: 27837, SB: 55871, TC: 50, AC: 3               
RB: 28595, SB: 56963, TC: 49, AC: 2               
RB: 28595, SB: 56963, TC: 49, AC: 1               
RB: 28595, SB: 56963, TC: 49, AC: 0               
RB: 28595, SB: 56963, TC: 49, AC: 0               
RB: 29201, SB: 56963, TC: 50, AC: 1               
RB: 29201, SB: 56963, TC: 50, AC: 1               
RB: 29201, SB: 58054, TC: 50, AC: 1               
RB: 29201, SB: 58054, TC: 50, AC: 0               
RB: 29201, SB: 58054, TC: 51, AC: 1               
RB: 29201, SB: 58054, TC: 51, AC: 1               
RB: 29201, SB: 58054, TC: 51, AC: 2               
RB: 29774, SB: 58054, TC: 51, AC: 2               
RB: 29774, SB: 58054, TC: 51, AC: 2               
RB: 29774, SB: 58054, TC: 51, AC: 1               
RB: 29774, SB: 58054, TC: 52, AC: 2               
RB: 29774, SB: 59574, TC: 51, AC: 2               
RB: 29774, SB: 59574, TC: 51, AC: 2               
RB: 29774, SB: 59574, TC: 51, AC: 2               
RB: 30490, SB: 60788, TC: 52, AC: 2               
RB: 30490, SB: 60788, TC: 52, AC: 1               
RB: 30490, SB: 60788, TC: 53, AC: 2               
RB: 30490, SB: 60788, TC: 53, AC: 2               
RB: 31053, SB: 60788, TC: 53, AC: 3               
RB: 31053, SB: 60788, TC: 53, AC: 3               
RB: 31053, SB: 60788, TC: 53, AC: 2               
RB: 31053, SB: 60788, TC: 54, AC: 3               
RB: 31053, SB: 62176, TC: 53, AC: 2               
RB: 31053, SB: 62176, TC: 53, AC: 2               
RB: 31053, SB: 62176, TC: 53, AC: 2               
RB: 31811, SB: 63390, TC: 54, AC: 3               
RB: 31811, SB: 63390, TC: 54, AC: 2               
RB: 31811, SB: 63390, TC: 55, AC: 3               
RB: 31811, SB: 63390, TC: 55, AC: 3               
RB: 32310, SB: 63390, TC: 55, AC: 3               
RB: 32310, SB: 63390, TC: 55, AC: 3               
RB: 32310, SB: 63390, TC: 55, AC: 2               
RB: 32310, SB: 63390, TC: 56, AC: 3               
RB: 32310, SB: 63390, TC: 56, AC: 3               
RB: 32310, SB: 64464, TC: 56, AC: 4               
RB: 32310, SB: 64464, TC: 56, AC: 4               
RB: 32310, SB: 64464, TC: 56, AC: 3               
RB: 32310, SB: 64464, TC: 57, AC: 4               
RB: 32310, SB: 64464, TC: 57, AC: 4               
RB: 33092, SB: 65541, TC: 57, AC: 4               
RB: 33092, SB: 65541, TC: 57, AC: 4               
RB: 33092, SB: 65541, TC: 57, AC: 3               
RB: 33092, SB: 65541, TC: 58, AC: 4               
RB: 33850, SB: 66633, TC: 57, AC: 4               
RB: 33850, SB: 66633, TC: 57, AC: 2               
RB: 33850, SB: 66633, TC: 57, AC: 0               
RB: 33850, SB: 66633, TC: 57, AC: 0               
RB: 33850, SB: 66633, TC: 58, AC: 1               
RB: 34456, SB: 66633, TC: 58, AC: 1               
RB: 34456, SB: 66633, TC: 58, AC: 1               
RB: 34456, SB: 66633, TC: 58, AC: 0               
RB: 34456, SB: 66633, TC: 59, AC: 1               
RB: 34456, SB: 67805, TC: 58, AC: 1               
RB: 34456, SB: 67805, TC: 58, AC: 1               
RB: 35029, SB: 67805, TC: 59, AC: 2               
RB: 35029, SB: 67805, TC: 59, AC: 2               
RB: 35029, SB: 67805, TC: 59, AC: 1               
RB: 35029, SB: 67805, TC: 60, AC: 2               
RB: 35029, SB: 69456, TC: 59, AC: 2               
RB: 35029, SB: 69456, TC: 59, AC: 2               
RB: 35722, SB: 69456, TC: 60, AC: 2               
RB: 35722, SB: 69456, TC: 60, AC: 2               
RB: 35722, SB: 69456, TC: 60, AC: 1               
RB: 35722, SB: 69456, TC: 61, AC: 2               
RB: 35722, SB: 69456, TC: 61, AC: 2               
RB: 35722, SB: 70751, TC: 61, AC: 3               
RB: 36343, SB: 70751, TC: 61, AC: 2               
RB: 36343, SB: 70751, TC: 61, AC: 2               
RB: 36343, SB: 70751, TC: 61, AC: 1               
RB: 36343, SB: 70751, TC: 62, AC: 2               
RB: 36343, SB: 70751, TC: 62, AC: 2               
RB: 36343, SB: 72196, TC: 62, AC: 3               
RB: 36343, SB: 72196, TC: 62, AC: 3               
RB: 36343, SB: 72196, TC: 62, AC: 2               
RB: 36343, SB: 72196, TC: 63, AC: 3               
RB: 37036, SB: 73491, TC: 62, AC: 2               
RB: 37036, SB: 73491, TC: 62, AC: 2               
RB: 37036, SB: 73491, TC: 62, AC: 2               
RB: 37535, SB: 74646, TC: 63, AC: 3               
RB: 37535, SB: 74646, TC: 63, AC: 2               
RB: 37535, SB: 74646, TC: 64, AC: 3               
RB: 37535, SB: 74646, TC: 64, AC: 3               
RB: 38252, SB: 74646, TC: 64, AC: 3               
RB: 38252, SB: 74646, TC: 64, AC: 3               
RB: 38252, SB: 74646, TC: 64, AC: 2               
RB: 38252, SB: 74646, TC: 65, AC: 3               
RB: 38252, SB: 74646, TC: 65, AC: 3               
RB: 38252, SB: 75804, TC: 65, AC: 4               
RB: 38252, SB: 75804, TC: 65, AC: 4               
RB: 38252, SB: 75804, TC: 65, AC: 3               
RB: 38252, SB: 75804, TC: 66, AC: 4               
RB: 38945, SB: 76977, TC: 65, AC: 3               
RB: 38945, SB: 76977, TC: 65, AC: 1               
RB: 38945, SB: 76977, TC: 65, AC: 0               
RB: 38945, SB: 76977, TC: 65, AC: 0               
RB: 39551, SB: 76977, TC: 66, AC: 1               
RB: 39551, SB: 76977, TC: 66, AC: 1               
RB: 39551, SB: 76977, TC: 66, AC: 0               
RB: 39551, SB: 76977, TC: 67, AC: 1               
RB: 39551, SB: 78149, TC: 66, AC: 1               
RB: 39551, SB: 78149, TC: 66, AC: 1               
RB: 40124, SB: 78149, TC: 67, AC: 2               
RB: 40124, SB: 78149, TC: 67, AC: 2               
RB: 40124, SB: 78149, TC: 67, AC: 1               
RB: 40124, SB: 78149, TC: 68, AC: 2               
RB: 40124, SB: 79800, TC: 67, AC: 1               
RB: 40124, SB: 79800, TC: 67, AC: 1               
RB: 40124, SB: 79800, TC: 67, AC: 1               
RB: 40817, SB: 81095, TC: 68, AC: 2               
RB: 40817, SB: 81095, TC: 68, AC: 1               
RB: 40817, SB: 81095, TC: 69, AC: 2               
RB: 40817, SB: 81095, TC: 69, AC: 2               
RB: 41438, SB: 81095, TC: 69, AC: 3               
RB: 41438, SB: 81095, TC: 69, AC: 3               
RB: 41438, SB: 81095, TC: 69, AC: 2               
RB: 41438, SB: 81095, TC: 70, AC: 3               
RB: 41438, SB: 82540, TC: 69, AC: 3               
RB: 41438, SB: 82540, TC: 69, AC: 3               
RB: 42131, SB: 82540, TC: 70, AC: 3               
RB: 42131, SB: 82540, TC: 70, AC: 3               
RB: 42131, SB: 82540, TC: 70, AC: 2               
RB: 42131, SB: 82540, TC: 71, AC: 3               
RB: 42131, SB: 83835, TC: 70, AC: 3               
RB: 42131, SB: 83835, TC: 70, AC: 3               
RB: 42630, SB: 83835, TC: 71, AC: 2               
RB: 42630, SB: 83835, TC: 71, AC: 2               
RB: 42630, SB: 83835, TC: 71, AC: 1               
RB: 42630, SB: 83835, TC: 72, AC: 2               
RB: 42630, SB: 84990, TC: 71, AC: 2               
RB: 42630, SB: 84990, TC: 71, AC: 2               
RB: 43347, SB: 84990, TC: 72, AC: 2               
RB: 43347, SB: 84990, TC: 72, AC: 2               
RB: 43347, SB: 84990, TC: 72, AC: 1               
RB: 43347, SB: 84990, TC: 73, AC: 2               
RB: 43347, SB: 86113, TC: 72, AC: 2               
RB: 43347, SB: 86113, TC: 72, AC: 2               
RB: 43347, SB: 86113, TC: 72, AC: 2               
RB: 44040, SB: 87286, TC: 73, AC: 2               
RB: 44040, SB: 87286, TC: 73, AC: 1               
RB: 44040, SB: 87286, TC: 74, AC: 2               
RB: 44040, SB: 87286, TC: 73, AC: 1               
RB: 44040, SB: 87286, TC: 73, AC: 0               client_loop: send disconnect: Broken pipe

